file,event_id,station,network,location,channel_used,instrument_type_used,pga_g,pgv_cms,snr_db,p_pick_time,s_pick_time,p_pick_confidence,s_pick_confidence,sampling_rate_hz,duration_sec,num_gaps,gap_fraction,is_clipped,has_three_components,response_removed_ok,usable_for_engineering,usable_for_phase_picking,qc_flags,sa_g_0_1s,sa_g_0_2s,sa_g_0_5s,sa_g_1_0s,sa_g_2_0s,arias_intensity_ms,cav_ms,duration_5_95_sec,fas_dominant_freq_hz,fas_mean_freq_hz
data/processed/waveforms/us10007vdu_DAT.mseed,us10007vdu,DAT,KO,,BHE,broadband,0.00103,0.0686,7.86,2017-01-25T18:51:40.660000Z,,0.331,,50.0,179.98,0,0.0,False,True,True,False,True,,0.00144,0.00227,0.00198,0.00059,0.0001,1.7e-05,0.0609,40.76,2.294,5.287
data/processed/waveforms/us10007vdu_MLSB.mseed,us10007vdu,MLSB,KO,,BHE,broadband,0.00011,0.014,6.55,2017-01-25T18:51:55.100000Z,,0.248,,50.0,210.02,0,0.0,False,True,True,False,True,,0.00012,0.00014,0.0004,0.00023,3e-05,0.0,0.0079,38.64,1.309,3.787
data/processed/waveforms/us10007vdu_YER.mseed,us10007vdu,YER,KO,,BHE,broadband,0.00043,0.0544,0.7,2017-01-25T18:51:30.580000Z,2017-01-25T18:51:56.480000Z,0.05,0.394,50.0,210.0,0,0.0,False,True,True,False,True,,0.00055,0.00061,0.0012,0.00054,0.00019,5e-06,0.0339,36.44,1.538,6.503
data/processed/waveforms/us10007vud_CAME.mseed,us10007vud,CAME,KO,,HNE,strong_motion,0.00039,0.0362,6.66,2017-01-27T20:51:48.860000Z,2017-01-27T20:51:50.790000Z,0.16,0.094,100.0,86.99,7,2.7015,False,True,True,False,False,has_gaps,0.00044,0.00079,0.00084,0.0004,0.00014,4e-06,0.0407,79.11,1.395,10.864
data/processed/waveforms/us10007vud_DALY.mseed,us10007vud,DALY,KO,,BHE,broadband,0.00169,0.136,17.97,2017-01-27T20:51:43.780000Z,2017-01-27T20:51:57.060000Z,0.505,0.507,50.0,210.0,0,0.0,False,True,True,False,True,,0.00185,0.00216,0.00363,0.00168,0.00046,1.8e-05,0.0432,13.88,1.476,3.628
data/processed/waveforms/us10007vud_DAT.mseed,us10007vud,DAT,KO,,BHE,broadband,0.00048,0.03,5.54,2017-01-27T20:51:51.720000Z,2017-01-27T20:52:08.000000Z,0.124,0.136,50.0,210.0,0,0.0,False,True,True,False,True,,0.00072,0.00183,0.00091,0.00034,0.0001,1e-05,0.0438,32.58,4.628,4.714
data/processed/waveforms/us10007vud_FETY.mseed,us10007vud,FETY,KO,,HHE,broadband,0.00094,0.0684,21.38,2017-01-27T20:51:41.150000Z,2017-01-27T20:51:55.530000Z,0.545,0.186,100.0,210.0,0,0.0,False,True,True,False,True,,0.00138,0.00253,0.00169,0.00065,0.00022,1.5e-05,0.0662,45.62,3.857,11.919
data/processed/waveforms/us10007vud_YER.mseed,us10007vud,YER,KO,,BHE,broadband,0.00036,0.0319,6.34,2017-01-27T20:52:11.420000Z,,0.314,,50.0,210.0,0,0.0,False,True,True,False,True,,0.0004,0.00047,0.00094,0.00027,9e-05,2e-06,0.0208,31.46,1.69,4.762
data/processed/waveforms/us100085uc_CANM.mseed,us100085uc,CANM,KO,,HNE,strong_motion,0.00283,0.1991,,,,,,100.0,210.0,0,0.0,False,True,True,True,False,,0.00457,0.00921,0.00751,0.00134,0.00028,8.1e-05,0.1021,13.24,1.776,6.963
data/processed/waveforms/us100085uc_DKL.mseed,us100085uc,DKL,KO,,BHE,broadband,0.00144,0.0661,9.19,2017-02-28T23:27:51.220000Z,2017-02-28T23:28:03.060000Z,0.386,0.274,50.0,209.98,0,0.0,False,True,True,False,True,,0.0032,0.00324,0.00172,0.00071,0.00011,1.8e-05,0.0455,15.14,2.419,5.982
data/processed/waveforms/us100085uc_EZN.mseed,us100085uc,EZN,KO,,HHE,broadband,0.00512,0.1078,26.56,2017-02-28T23:27:42.190000Z,2017-02-28T23:30:53.500000Z,0.561,0.119,100.0,210.0,0,0.0,False,True,True,False,True,,0.00736,0.00322,0.00229,0.00066,0.00026,0.000304,0.1816,14.37,17.128,19.279
