event_id,station,network,location,channel_used,instrument_type_used,event_latitude,event_longitude,depth_km,station_latitude,station_longitude,epicentral_distance_km,hypocentral_distance_km,magnitude,mag_type,mw_estimate,time_utc,pga_g,pgv_cms,snr_db,vs30_ms,nehrp_site_class,has_strong_motion,sa_g_0_1s,sa_g_0_2s,sa_g_0_5s,sa_g_1_0s,sa_g_2_0s,arias_intensity_ms,cav_ms,duration_5_95_sec,fas_dominant_freq_hz,fas_mean_freq_hz,p_pick_time,s_pick_time,p_pick_confidence,s_pick_confidence,response_removed_ok,usable_for_engineering,usable_for_phase_picking,qc_flags,file
quakeml:eu.emsc/event/20201030_0000093,KRBN,KO,,HNE,strong_motion,38.01,26.56,17.0,38.5936,26.5537,64.9,67.09,4.8,ml,4.54,2020-10-30 11:56:04+00:00,0.00165,0.1699,8.54,843.0,B,True,0.00554,0.00626,0.00145,0.00124,0.00037,0.000398,0.4535,167.62,48.821,20.915,2020-10-30T11:56:15.590000Z,2020-10-30T11:56:27.510000Z,0.332,0.265,True,True,True,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20201030_0000093_KRBN.mseed
quakeml:eu.emsc/event/20201030_0000093,FOCM,KO,,HNE,strong_motion,38.01,26.56,17.0,38.7131,26.7309,79.59,81.39,4.8,ml,4.54,2020-10-30 11:56:04+00:00,0.00077,0.1263,,553.0,C,True,0.00281,0.00213,0.00043,0.00027,0.00027,1.7e-05,0.0973,158.88,0.186,10.431,,,,,True,True,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20201030_0000093_FOCM.mseed
quakeml:eu.emsc/event/20201030_0000093,DIDI,KO,,HNE,strong_motion,38.01,26.56,17.0,37.3767,27.2398,92.39,93.94,4.8,ml,4.54,2020-10-30 11:56:04+00:00,0.00528,0.2624,,316.0,D,True,0.00551,0.00633,0.00177,0.00041,0.00035,0.015291,3.7688,175.28,49.983,22.914,,,,,True,True,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20201030_0000093_DIDI.mseed
quakeml:eu.emsc/event/20201031_0000312,GMLD,KO,,HNE,strong_motion,37.87,26.46,16.0,38.0766,26.9157,46.08,48.78,4.5,mb,,2020-10-31 14:42:42.900000+00:00,0.00343,0.1702,,289.0,D,True,0.00826,0.00652,0.00593,0.00082,0.00017,8.1e-05,0.0959,14.14,2.048,10.068,,,,,True,True,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20201031_0000312_GMLD.mseed
quakeml:eu.emsc/event/20201031_0000312,CESE,KO,,HNE,strong_motion,37.87,26.46,16.0,38.3306,26.2997,53.1,55.46,4.5,mb,,2020-10-31 14:42:42.900000+00:00,0.00042,0.0434,,410.0,C,True,0.00078,0.00064,0.00071,0.00054,8e-05,4e-06,0.0503,172.7,1.571,23.518,,,,,True,True,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20201031_0000312_CESE.mseed
quakeml:eu.emsc/event/20201031_0000312,KUSD,KO,,HNE,strong_motion,37.87,26.46,16.0,37.8606,27.2868,72.59,74.33,4.5,mb,,2020-10-31 14:42:42.900000+00:00,0.00025,0.018,,616.0,C,True,0.00056,0.00041,0.00021,9e-05,2e-05,1e-06,0.0325,165.19,49.969,20.52,,,,,True,True,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20201031_0000312_KUSD.mseed
quakeml:eu.emsc/event/20201031_0000312,BLCB,KO,,BHE,broadband,37.87,26.46,16.0,38.3853,27.042,76.65,78.3,4.5,mb,,2020-10-31 14:42:42.900000+00:00,0.00055,0.0215,9.01,646.0,C,False,0.00132,0.00175,0.00053,0.0001,3e-05,4e-06,0.0235,19.16,3.981,6.752,2020-10-31T14:42:58.000000Z,,0.238,,True,False,True,clipping_şüphesi,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20201031_0000312_BLCB.mseed
quakeml:eu.emsc/event/20201031_0000312,DIDI,KO,,HNE,strong_motion,37.87,26.46,16.0,37.3767,27.2398,87.89,89.33,4.5,mb,,2020-10-31 14:42:42.900000+00:00,0.00085,0.0419,,316.0,D,True,0.00151,0.00153,0.00051,0.00017,4e-05,0.000181,0.3954,168.08,27.227,21.997,,,,,True,True,False,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20201031_0000312_DIDI.mseed
quakeml:eu.emsc/event/20230206_0000015,SVAN,KO,,HHE,broadband,37.35,41.77,10.0,38.1511,41.1984,102.28,102.77,5.0,mb,,2023-02-06 01:47:46.700000+00:00,0.00038,0.0402,4.85,571.0,C,False,0.00114,0.00044,0.0003,0.00014,6e-05,2e-06,0.0258,136.95,2.257,9.394,2023-02-06T01:47:56.780000Z,2023-02-06T01:50:02.850000Z,0.089,0.018,True,False,True,,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20230206_0000015_SVAN.mseed
quakeml:eu.emsc/event/20230206_0000015,MAZI,KO,,HHZ,broadband,37.35,41.77,10.0,37.4593,40.4465,117.53,117.95,5.0,mb,,2023-02-06 01:47:46.700000+00:00,0.00327,0.2422,2.9,542.0,C,False,0.00554,0.00239,0.00086,0.00048,8e-05,3.1e-05,0.1188,160.51,4.662,12.486,2023-02-06T01:48:22.940000Z,,0.03,,True,False,False,has_gaps,data/processed/waveforms/quakeml-c-eu.emsc-s-event-s-20230206_0000015_MAZI.mseed
