event_id,station,phase_type,phase_hint,pick_time,source,fetched_at
us6000jm69,KMRS,S,Sg,2023-02-07T06:41:14.210000Z,isc_analyst,2026-09-13T08:59:09.360432+00:00
us6000jm6b,KMRS,S,Sg,2023-02-07T06:49:23.910000Z,isc_analyst,2026-09-13T08:59:12.794511+00:00
us6000jm6b,KMRS,P,Pg,2023-02-07T06:49:10.090000Z,isc_analyst,2026-09-13T08:59:12.794527+00:00
us6000jm6b,SARI,P,Pg,2023-02-07T06:49:09.700000Z,isc_analyst,2026-09-13T08:59:12.794532+00:00
us6000jm6b,SARI,S,Sn,2023-02-07T06:49:24.640000Z,isc_analyst,2026-09-13T08:59:12.794537+00:00
us6000jm7f,URFA,S,Sg,2023-02-07T10:18:38.560000Z,isc_analyst,2026-09-13T08:59:27.804123+00:00
us6000jm7f,URFA,P,Pg,2023-02-07T10:18:28.290000Z,isc_analyst,2026-09-13T08:59:27.804143+00:00
us6000jm7k,KMRS,P,Pg,2023-02-07T10:57:53.240000Z,isc_analyst,2026-09-13T08:59:34.211087+00:00
us6000jm7k,SARI,P,Pg,2023-02-07T10:57:56.820000Z,isc_analyst,2026-09-13T08:59:34.211102+00:00
us6000jm7k,KMRS,S,Sg,2023-02-07T10:57:58.940000Z,isc_analyst,2026-09-13T08:59:34.211108+00:00
us6000jm7k,SARI,S,Sg,2023-02-07T10:58:03.760000Z,isc_analyst,2026-09-13T08:59:34.211113+00:00
us6000jm95,GAZ,S,Sg,2023-02-07T15:31:37.100000Z,isc_analyst,2026-09-13T08:59:43.694780+00:00
us6000jm95,GAZ,P,Pg,2023-02-07T15:31:33.530000Z,isc_analyst,2026-09-13T08:59:43.694799+00:00
us6000jm95,KMRS,S,Sg,2023-02-07T15:31:36.600000Z,isc_analyst,2026-09-13T08:59:43.694805+00:00
us6000jm95,KMRS,P,Pg,2023-02-07T15:31:33.110000Z,isc_analyst,2026-09-13T08:59:43.694810+00:00
us6000jm96,KMRS,S,Sg,2023-02-07T15:49:13.160000Z,isc_analyst,2026-09-13T08:59:48.970340+00:00
us6000jm96,KMRS,P,Pg,2023-02-07T15:49:05.360000Z,isc_analyst,2026-09-13T08:59:48.970357+00:00
us6000jm96,SARI,P,Pg,2023-02-07T15:49:01.080000Z,isc_analyst,2026-09-13T08:59:48.970364+00:00
us6000jm96,SARI,S,Sg,2023-02-07T15:49:07.950000Z,isc_analyst,2026-09-13T08:59:48.970369+00:00
