network,station,location,channel,instrument_type,latitude,longitude,sample_rate_hz,start_date,end_date
KO,BODT,,BHZ,broadband,37.0622,27.3103,20.0,2005-02-14T00:00:00.000000Z,2006-01-03T07:00:00.000000Z
KO,BODT,,BHE,broadband,37.0622,27.3103,50.0,2006-01-03T07:00:00.000000Z,2017-07-27T00:00:00.000000Z
KO,BODT,,BHN,broadband,37.0622,27.3103,50.0,2006-01-03T07:00:00.000000Z,2017-07-27T00:00:00.000000Z
KO,BODT,,BHZ,broadband,37.0622,27.3103,50.0,2006-01-03T07:00:00.000000Z,2017-07-27T00:00:00.000000Z
KO,BODT,,HHE,broadband,37.0622,27.3103,100.0,2017-07-27T00:00:00.000000Z,2017-07-30T11:00:00.000000Z
KO,BODT,,HHN,broadband,37.0622,27.3103,100.0,2017-07-27T00:00:00.000000Z,2017-07-30T11:00:00.000000Z
KO,BODT,,HHZ,broadband,37.0622,27.3103,100.0,2017-07-27T00:00:00.000000Z,2017-07-30T11:00:00.000000Z
KO,BODT,,BHE,broadband,37.0622,27.3103,50.0,2017-07-30T11:00:00.000000Z,2017-12-31T00:00:00.000000Z
KO,BODT,,BHN,broadband,37.0622,27.3103,50.0,2017-07-30T11:00:00.000000Z,2017-12-31T00:00:00.000000Z
KO,BODT,,BHZ,broadband,37.0622,27.3103,50.0,2017-07-30T11:00:00.000000Z,2017-12-31T00:00:00.000000Z
KO,BODT,,BHE,broadband,37.0622,27.3103,50.0,2017-12-31T00:00:00.000000Z,2022-11-30T09:00:00.000000Z
KO,BODT,,BHN,broadband,37.0622,27.3103,50.0,2017-12-31T00:00:00.000000Z,2022-11-30T09:00:00.000000Z
KO,BODT,,BHZ,broadband,37.0622,27.3103,50.0,2017-12-31T00:00:00.000000Z,2022-11-30T09:00:00.000000Z
KO,BODT,,HHE,broadband,37.0622,27.3103,100.0,2022-11-30T09:00:00.000000Z,
KO,BODT,,HHN,broadband,37.0622,27.3103,100.0,2022-11-30T09:00:00.000000Z,
KO,BODT,,HHZ,broadband,37.0622,27.3103,100.0,2022-11-30T09:00:00.000000Z,
KO,KCTX,,BHE,broadband,40.2626,28.3353,50.0,2008-07-11T00:00:00.000000Z,2013-11-08T15:00:00.000000Z
KO,KCTX,,BHN,broadband,40.2626,28.3353,50.0,2008-07-11T00:00:00.000000Z,2013-11-08T15:00:00.000000Z
KO,KCTX,,BHZ,broadband,40.2626,28.3353,50.0,2008-07-11T00:00:00.000000Z,2013-11-08T15:00:00.000000Z
KO,KCTX,,HHE,broadband,40.2626,28.3353,100.0,2013-11-08T15:00:00.000000Z,
KO,KCTX,,HHN,broadband,40.2626,28.3353,100.0,2013-11-08T15:00:00.000000Z,
KO,KCTX,,HHZ,broadband,40.2626,28.3353,100.0,2013-11-08T15:00:00.000000Z,
KO,KCTX,,HNE,strong_motion,40.2626,28.3353,100.0,2015-11-10T00:00:00.000000Z,2019-09-23T12:35:00.000000Z
KO,KCTX,,HNN,strong_motion,40.2626,28.3353,100.0,2015-11-10T00:00:00.000000Z,2019-09-23T12:35:00.000000Z
KO,KCTX,,HNZ,strong_motion,40.2626,28.3353,100.0,2015-11-10T00:00:00.000000Z,2019-09-23T12:35:00.000000Z
KO,KCTX,,HNE,strong_motion,40.2626,28.3353,100.0,2019-09-23T12:35:00.000000Z,
KO,KCTX,,HNN,strong_motion,40.2626,28.3353,100.0,2019-09-23T12:35:00.000000Z,
KO,KCTX,,HNZ,strong_motion,40.2626,28.3353,100.0,2019-09-23T12:35:00.000000Z,
KO,URFA,,BHE,broadband,37.4409,38.8213,20.0,2004-12-02T00:00:00.000000Z,2009-07-01T12:00:00.000000Z
KO,URFA,,BHN,broadband,37.4409,38.8213,20.0,2004-12-02T00:00:00.000000Z,2009-07-01T12:00:00.000000Z
KO,URFA,,BHZ,broadband,37.4409,38.8213,20.0,2004-12-02T00:00:00.000000Z,2009-07-01T12:00:00.000000Z
KO,URFA,,BHE,broadband,37.4409,38.8213,50.0,2009-07-01T12:00:00.000000Z,2022-11-29T10:00:00.000000Z
KO,URFA,,BHN,broadband,37.4409,38.8213,50.0,2009-07-01T12:00:00.000000Z,2022-11-29T10:00:00.000000Z
KO,URFA,,BHZ,broadband,37.4409,38.8213,50.0,2009-07-01T12:00:00.000000Z,2022-11-29T10:00:00.000000Z
KO,URFA,,HHE,broadband,37.4409,38.8213,100.0,2022-11-29T10:00:00.000000Z,
KO,URFA,,HHN,broadband,37.4409,38.8213,100.0,2022-11-29T10:00:00.000000Z,
KO,URFA,,HHZ,broadband,37.4409,38.8213,100.0,2022-11-29T10:00:00.000000Z,
KO,BCA,,BHE,broadband,41.445,41.6223,50.0,2006-05-24T16:00:00.000000Z,2022-11-28T08:00:00.000000Z
KO,BCA,,BHN,broadband,41.445,41.6223,50.0,2006-05-24T16:00:00.000000Z,2022-11-28T08:00:00.000000Z
