network,station,latitude,longitude,elevation,start_date,channel_codes,instrument_types,has_strong_motion,vs30_ms,nehrp_site_class
KO,CTKS,41.2373,28.5072,47.0,2007-09-28T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,375.0,C
KO,ADVT,40.4332,29.7383,193.0,2006-05-19T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,562.0,C
KO,DIKM,41.6497,35.2578,261.0,2006-06-27T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,671.0,C
KO,TUZL,40.8128,29.2657,12.0,2010-10-11T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,226.0,D
KO,SDAG,38.4396,30.9175,1140.0,2019-07-10T00:00:00.000000Z,"HHE,HHN,HHZ",broadband,False,604.0,C
KO,YEDI,39.4377,40.5443,1557.0,2011-05-03T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,833.0,B
KO,CHBY,38.5823,32.8902,1086.0,2009-06-17T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,334.0,D
KO,EDC,40.3465,27.8618,257.0,2001-11-27T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ","broadband,strong_motion",True,710.0,C
KO,UKOP,41.1288,26.6323,70.0,2013-09-12T00:00:00.000000Z,"EHE,EHN,EHZ,HNE,HNN,HNZ","broadband,strong_motion",True,342.0,D
KO,ANTB,36.8998,30.6538,20.0,2004-03-03T00:00:00.000000Z,"BHE,BHN,BHZ,HHE,HHN,HHZ",broadband,False,363.0,C
KO,APMY,37.4717,29.3018,930.0,2016-05-31T00:00:00.000000Z,"HHE,HHN,HHZ",broadband,False,409.0,C
KO,GPNR,39.456,26.1331,55.0,2011-03-25T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,665.0,C
KO,BODA,37.0348,27.4304,11.8,2019-10-17T00:00:00.000000Z,"HNE,HNN,HNZ",strong_motion,True,600.0,C
KO,KAMT,39.3689,33.7087,1120.0,2002-02-01T00:00:00.000000Z,"HHE,HHN,HHZ",broadband,False,429.0,C
